Type	Word
food	커런트
food	베리
food	구기자
food	머루
food	복분자
food	나무딸기
food	으름
food	바나나
food	파인애플
food	키위
food	아보카도
food	파파야
food	대추야자
food	망고
food	구아바
food	코코넛
food	리치
food	프루트
food	두리안
food	망고스틴
food	배추
food	양배추
food	브로콜리
food	엇갈이배추
food	봄동
food	상추
food	양상추
food	시금치
food	들깻잎
food	쑥갓
food	아욱
food	근대
food	머위
food	취나물
food	고춧잎
food	참나물
food	케일
food	청경채
food	냉이
food	치커리
food	앤디브
food	파슬리
food	호박잎
food	신선초
food	고추냉이
food	비름나물
food	씀바귀
food	우엉잎
food	겨자채
food	뉴그린
food	다청채
food	당귀잎
food	둥글레
food	부추
food	미나리
food	고구마줄기
food	토란줄기
food	고사리
food	아스파라거스
food	셀러리
food	죽순
food	콜라비
food	원추리
food	두릅
food	달래
food	고비
food	풋마늘
food	돌나물
food	락교
food	양파
food	마늘
food	당근
food	생강
food	연근
food	우엉
food	도라지
food	더덕
food	비트
food	순무
food	파스닢
food	야콘
food	고추냉이
food	치커리
food	인삼
food	둥글레
food	오이
food	호박
food	참외
food	수박
food	멜론
food	서양호박
food	토마토
food	방울토마토
food	고추
food	피망
food	오크라
food	풋콩
food	느타리버섯
food	송이버섯
food	표고버섯
food	양송이
food	싸리버섯
food	팽이버섯
food	목이버섯
food	영지버섯
food	새송이버섯
food	목질진흙버섯
food	갓버섯
food	나도팽나무버섯
food	황금뿔나팔버섯
food	신령버섯
food	석이버섯
food	겨자
food	계지
food	계피
food	고수열매
food	고추냉이
food	로즈마리
food	몰약
food	바질
food	박하
food	백리향
food	사프란
food	산초
food	서양박하
food	월계잎
food	육두구
food	정향
food	차조기
food	회향
food	후추
food	쿠민
food	카퍼
food	강황
food	심황
food	소두구
food	호프
food	갈래곰보
food	갈파래
food	곰피
food	꼬시래기
food	다시마
food	돌가사리
food	둥근돌김
food	뜸부기
food	매생이
food	모자반
food	미역
food	불등가사리
food	석묵
food	스피루리나
food	우뭇가사리
food	진두발
food	청각
food	클로렐라
food	파래
food	사탕수수
food	단수수
food	결명자
food	마테
food	쟈스민
food	돌외잎
food	마타리
food	물방기
food	질경이
food	참나리
food	소고기
food	돼지고기
food	양고기
food	염소고기
food	토끼고기
food	말고기
food	사슴고기
food	닭고기
food	꿩고기
food	오리고기
food	거위고기
food	칠면조고기
food	메추리고기
food	우유
food	산양유
food	계란
food	오리알
food	메추리알
food	닭알
food	달걀
food	가물치
food	메기
food	미꾸라지
food	붕어
food	빙어
food	쏘가리
food	잉어
food	참붕어
food	칠성장어
food	향어
food	송어
food	연어
food	은어
food	뱀장어
food	가오리
food	가자미
food	갈치
food	강달이
food	고등어
food	꽁치
food	날치
food	넙치
food	노래미
food	농어
food	다랑어
food	도루묵
food	도미
food	망둥어
food	멸치
food	명태
food	민어
food	박대
food	방어
food	밴댕이
food	뱅어
food	병어
food	복어
food	볼기우럭
food	조피볼락
food	볼락
food	붕장어
food	삼치
food	서대
food	숭어
food	쌍동가리
food	양미리
food	은대구
food	임연수어
food	전갱이
food	전어
food	정어리
food	조기
food	준치
food	쥐치
food	청어
food	홍어
food	심해성어류
food	쏨뱅이류
food	연안성어종
food	금눈돔
food	칠성상어
food	얼룩상어
food	악상어
food	청상아리
food	곱상어
food	귀상어
food	은상어
food	청새리상어
food	흑기흉상어
food	다금바리
food	체장메기
food	블랙오레오도리
food	niger
food	maculatus
food	오렌지라피
food	atlanticus
food	붉평치
food	먹장어
food	흑점샛돔
food	비막치어
food	은민대구
food	한함
food	다랑어류
food	새치류
food	참다랑어
food	남방참다랑어
food	날개다랑어
food	눈다랑어
food	황다랑어
food	돛새치
food	청새치
food	녹새치
food	백새치
food	황새치
food	백다랑어
food	가다랑어
food	점다랑어
food	몽치다래
food	물치다래
food	새우
food	바닷가재
food	가재
food	방게
food	크릴
food	패류
food	홍합
food	꼬막
food	재첩
food	소라
food	고둥
food	대합
food	전복
food	바지락
food	두족류
food	문어
food	오징어
food	낙지
food	갑오징어
food	꼴뚜기
food	주꾸미
food	연체류
food	개불
food	군소
food	해파리
food	성게
food	해삼
food	멍게
food	미더덕
food	주름미더덕
food	식용자라
food	식용개구리
food	식용달팽이
chemical	이민옥타딘
chemical	글루포시네이트
chemical	글리포세이트
chemical	나프로파마이드
chemical	노르풀루라존
chemical	니트라피린
chemical	다미노자이드
chemical	다이아지논
chemical	델타메쓰린
chemical	도딘
chemical	멥틸디노캡
chemical	디디티
chemical	디메치핀
chemical	디메토에이트
chemical	디설포톤
chemical	디우론
chemical	디메칠디치오카바메이트
chemical	디캄바
chemical	디코폴
chemical	디쿼트
chemical	디크로보스
chemical	디크로프루아니드
chemical	디클로란
chemical	디클로베닐
chemical	디클로포프-메칠
chemical	디페노코나졸
chemical	디페닐아민
chemical	디펜아미드
chemical	디프루벤주론
chemical	리누론
chemical	마이클로부타닐
chemical	말라치온
chemical	말레익하이드라자이드
chemical	메빈포스
chemical	메소밀
chemical	메치오카브
chemical	메카밤
chemical	메타락실
chemical	메타미도포스
chemical	메토라클로르
chemical	메토브로무론
chemical	메토프렌
chemical	메톡시클로르
chemical	메트리부진
chemical	메티다치온
chemical	메틸브로마이드
chemical	모노크로토포스
chemical	바미도티온
chemical	바이오레스메스린
chemical	베나락실
chemical	베노밀
chemical	벤디오카브
chemical	벤설프론-메칠
chemical	벤타존
chemical	부프로페진
chemical	브로마실
chemical	브로모프로필레이트
chemical	비 에치 씨
chemical	비터타놀
chemical	비페녹스
chemical	비펜스린
chemical	빈클로졸린
chemical	세톡시딤
chemical	시마진
chemical	싸이로마진
chemical	싸이퍼메쓰린
chemical	싸이플루쓰린
chemical	싸이할로쓰린
chemical	싸이헥사틴
chemical	아닐라진
chemical	아미트라즈
chemical	아세토클로르
chemical	아세페이트
chemical	아조싸이클로틴
chemical	아진포스-메틸
chemical	알드린 및 디엘드린
chemical	알디카브
chemical	알라클로르
chemical	알루미늄포스파이드
chemical	에디펜포스
chemical	에세폰
chemical	에치오펜카브
chemical	에치온
chemical	에탈풀루라린
chemical	에토펜프록스
chemical	에토프로포스
chemical	에톡시퀸
chemical	에트림포스
